frame,track_id,predicted_team,correct_team
76,34,1,
108,36,0,
199,172,1,
440,222,1,
584,277,0,
730,329,0,
862,369,1,
944,422,0,
1041,451,1,
1076,451,1,
1112,460,0,
1146,503,1,
1208,545,0,
1254,556,1,
1312,596,0,
1346,600,1,
1377,628,1,
1408,595,0,
1442,595,0,
1472,639,1,
1506,604,0,
1538,719,0,
1584,719,0,
1646,889,1,
1710,916,1,
1781,961,0,
1825,997,1,
1856,1077,1,
1889,997,1,
1924,1118,0,
1958,1136,1,
1991,1140,1,
2028,1149,1,
2061,1118,0,
2091,1161,1,
2128,1191,0,
2213,1224,0,
2507,1258,0,
2552,1277,0,
2645,1328,1,
2701,1394,0,
2756,1400,0,
2813,1448,0,
2915,1481,0,
2946,1480,1,
2980,1486,0,
3015,1480,1,
3048,1533,1,
3079,1486,0,
3112,1480,1,
3142,1599,1,
3172,1599,1,
3206,1521,0,
3236,1638,1,
3268,1659,1,
